,WHO Region,Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,CountryNum,isMarch
60,Americas,2020-03-30,5323.085714285714,139.17142857142858,180.85714285714286,5003.057142857143,684.0,25.742857142857144,97.28571428571429,6580,1.0
61,Americas,2020-03-31,6177.8,177.5142857142857,234.0,5766.285714285715,854.7142857142857,38.34285714285714,53.142857142857146,6580,1.0
62,Eastern Mediterranean,2020-03-01,51.63636363636363,2.4545454545454546,8.272727272727273,40.90909090909091,18.454545454545453,0.5,2.3636363636363638,4136,1.0
63,Eastern Mediterranean,2020-03-02,76.5909090909091,3.0,13.545454545454545,60.04545454545455,24.954545454545453,0.5454545454545454,5.2727272727272725,4136,1.0
64,Eastern Mediterranean,2020-03-03,115.5909090909091,3.5,13.590909090909092,98.5,39.0,0.5,0.045454545454545456,4136,1.0
65,Eastern Mediterranean,2020-03-04,142.72727272727272,4.2727272727272725,25.5,112.95454545454545,27.136363636363637,0.7727272727272727,11.909090909090908,4136,1.0
66,Eastern Mediterranean,2020-03-05,170.5909090909091,4.954545454545454,34.0,131.63636363636363,27.863636363636363,0.6818181818181818,8.5,4136,1.0
67,Eastern Mediterranean,2020-03-06,228.0909090909091,5.7727272727272725,42.09090909090909,180.22727272727272,57.5,0.8181818181818182,8.090909090909092,4136,1.0
68,Eastern Mediterranean,2020-03-07,280.04545454545456,6.7727272727272725,76.5909090909091,196.6818181818182,51.95454545454545,1.0,34.5,4136,1.0
69,Eastern Mediterranean,2020-03-08,317.0,9.136363636363637,97.77272727272727,210.0909090909091,36.95454545454545,2.3636363636363638,21.181818181818183,4136,1.0
70,Eastern Mediterranean,2020-03-09,345.6818181818182,11.090909090909092,110.18181818181819,224.4090909090909,28.681818181818183,1.9545454545454546,12.409090909090908,4136,1.0
71,Eastern Mediterranean,2020-03-10,390.3181818181818,13.681818181818182,126.5,250.13636363636363,44.63636363636363,2.590909090909091,16.318181818181817,4136,1.0
72,Eastern Mediterranean,2020-03-11,450.1818181818182,16.636363636363637,139.45454545454547,294.09090909090907,59.86363636363637,2.9545454545454546,12.954545454545455,4136,1.0
73,Eastern Mediterranean,2020-03-12,501.72727272727275,20.09090909090909,139.5909090909091,342.04545454545456,51.54545454545455,3.4545454545454546,0.13636363636363635,4136,1.0
74,Eastern Mediterranean,2020-03-13,568.2272727272727,24.09090909090909,140.5,403.6363636363636,66.5,4.0,0.9090909090909091,4136,1.0
75,Eastern Mediterranean,2020-03-14,637.9545454545455,28.545454545454547,140.77272727272728,468.6363636363636,69.72727272727273,4.454545454545454,0.2727272727272727,4136,1.0
76,Eastern Mediterranean,2020-03-15,703.1363636363636,33.68181818181818,215.63636363636363,453.8181818181818,65.18181818181819,5.136363636363637,74.86363636363636,4136,1.0
77,Eastern Mediterranean,2020-03-16,761.4545454545455,39.59090909090909,216.95454545454547,504.90909090909093,58.31818181818182,5.909090909090909,1.3181818181818181,4136,1.0
78,Eastern Mediterranean,2020-03-17,826.6818181818181,45.90909090909091,254.22727272727272,526.5454545454545,65.22727272727273,6.318181818181818,37.27272727272727,4136,1.0
79,Eastern Mediterranean,2020-03-18,894.4545454545455,52.81818181818182,256.09090909090907,585.5454545454545,67.77272727272727,6.909090909090909,1.8636363636363635,4136,1.0
80,Eastern Mediterranean,2020-03-19,959.1818181818181,59.77272727272727,271.6363636363636,627.7727272727273,64.72727272727273,6.954545454545454,15.545454545454545,4136,1.0
81,Eastern Mediterranean,2020-03-20,1034.8636363636363,66.95454545454545,320.40909090909093,647.5,75.68181818181819,7.181818181818182,48.77272727272727,4136,1.0
82,Eastern Mediterranean,2020-03-21,1088.9545454545455,72.72727272727273,363.77272727272725,652.4545454545455,54.09090909090909,5.7727272727272725,43.36363636363637,4136,1.0
